country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Czechia,CZE,2021-01-30 00:00:00,270555,232581,37974,1760,10138,2.53,2.17,0.35,947,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-31 00:00:00,272369,233275,39094,1814,9968,2.54,2.18,0.37,931,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-01 00:00:00,283365,236894,46471,10996,9789,2.65,2.21,0.43,914,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-02 00:00:00,296940,240699,56241,13575,9707,2.77,2.25,0.53,906,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-03 00:00:00,310340,244424,65916,13400,9736,2.9,2.28,0.62,909,Moderna, Pfizer/BioNTech,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,2021-01-15 00:00:00,165550,165545,5,15191,7083,2.86,2.86,0,1223,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-16 00:00:00,170154,170142,12,4604,7469,2.94,2.94,0,1289,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-17 00:00:00,173420,172682,738,3266,7819,2.99,2.98,0.01,1350,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-18 00:00:00,179453,176554,2899,6033,8587,3.1,3.05,0.05,1483,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-19 00:00:00,184072,179046,5026,4619,9181,3.18,3.09,0.09,1585,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-20 00:00:00,187504,180563,6941,3432,7860,3.24,3.12,0.12,1357,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-21 00:00:00,191386,182088,9298,3882,5861,3.3,3.14,0.16,1012,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-22 00:00:00,197764,182748,15016,6378,4602,3.41,3.16,0.26,795,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-23 00:00:00,205679,183526,22153,7915,5075,3.55,3.17,0.38,876,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-24 00:00:00,212894,184144,28750,7215,5639,3.68,3.18,0.5,974,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-25 00:00:00,215611,184388,31223,2717,5165,3.72,3.18,0.54,892,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-26 00:00:00,217563,184603,32960,1952,4784,3.76,3.19,0.57,826,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-27 00:00:00,222182,184815,37367,4619,4954,3.84,3.19,0.65,855,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-28 00:00:00,230522,185063,45459,8340,5591,3.98,3.2,0.78,965,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-29 00:00:00,249249,186162,63087,18727,7355,4.3,3.21,1.09,1270,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-30 00:00:00,263242,187395,75847,13993,8223,4.54,3.24,1.31,1420,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-01-31 00:00:00,276361,188617,87744,13119,9067,4.77,3.26,1.51,1565,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-02-01 00:00:00,284676,189349,95327,8315,9866,4.91,3.27,1.65,1703,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-02-02 00:00:00,289511,191366,98145,4835,10278,5,3.3,1.69,1774,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Denmark,DNK,2021-02-03 00:00:00,289512,191366,98146,1,9619,5,3.3,1.69,1661,Moderna, Pfizer/BioNTech,Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-03022021-y84u
Estonia,EST,2021-01-28 00:00:00,31629,25415,6214,2035,1378,2.38,1.92,0.47,1039,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Estonia,EST,2021-01-29 00:00:00,34019,26412,7607,2390,1403,2.56,1.99,0.57,1058,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Estonia,EST,2021-01-30 00:00:00,37230,27633,9597,3211,1647,2.81,2.08,0.72,1242,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Estonia,EST,2021-01-31 00:00:00,38055,27900,10155,825,1727,2.87,2.1,0.77,1302,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Estonia,EST,2021-02-01 00:00:00,38594,28186,10408,539,1781,2.91,2.12,0.78,1343,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Estonia,EST,2021-02-02 00:00:00,40217,28907,11310,1623,1862,3.03,2.18,0.85,1404,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Estonia,EST,2021-02-03 00:00:00,43000,30158,12842,2783,1915,3.24,2.27,0.97,1444,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-3-veebruar-oopaevaga-lisandus-688-positiivset-testi
Finland,FIN,2021-01-26 00:00:00,117007,110047,6960,6356,8740,2.11,1.99,0.13,1577,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
Finland,FIN,2021-01-27 00:00:00,126910,117555,9355,9903,9264,2.29,2.12,0.17,1672,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
Finland,FIN,2021-01-28 00:00:00,138323,127783,10540,11413,8575,2.5,2.31,0.19,1548,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
Finland,FIN,2021-01-29 00:00:00,151790,137551,14239,13467,8647,2.74,2.48,0.26,1561,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
Finland,FIN,2021-01-30 00:00:00,162277,144520,17757,10487,9222,2.93,2.61,0.32,1664,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
Finland,FIN,2021-02-02 00:00:00,163973,145770,18203,213,6709,2.96,2.63,0.33,1211,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
Finland,FIN,2021-02-03 00:00:00,173372,149951,23421,9399,6637,3.13,2.71,0.42,1198,Pfizer/BioNTech,Finnish Institute for Health and Welfare,https://www.thl.fi/episeuranta/rokotukset/koronarokotusten_edistyminen.html
France,FRA,2021-01-26 00:00:00,1171264,1165852,5412,96219,83647,1.73,1.72,0.01,1233,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-01-27 00:00:00,1274711,1262972,11739,103447,80820,1.88,1.86,0.02,1191,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-01-28 00:00:00,1396881,1372680,24201,122170,78072,2.06,2.02,0.04,1151,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-01-29 00:00:00,1494643,1453325,41318,97762,76418,2.2,2.14,0.06,1127,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-01-30 00:00:00,1525377,1479909,45468,30734,75747,2.25,2.18,0.07,1117,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-01-31 00:00:00,1533630,1486493,47137,8253,75666,2.26,2.19,0.07,1115,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-02-01 00:00:00,1609072,1541079,67993,75442,76290,2.37,2.27,0.1,1125,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
France,FRA,2021-02-02 00:00:00,1717385,1615088,102297,108313,78017,2.53,2.38,0.15,1150,Pfizer/BioNTech,Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,2021-01-14 00:00:00,996301,996161,140,100430,70774,1.19,1.19,0,845,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-15 00:00:00,1089117,1088533,584,92816,75499,1.3,1.3,0,901,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-16 00:00:00,1146008,1144918,1090,56891,75555,1.37,1.37,0,902,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-17 00:00:00,1190550,1175925,14625,44542,77172,1.42,1.4,0.02,921,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-18 00:00:00,1264683,1233582,31101,74133,78408,1.51,1.47,0.04,936,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-19 00:00:00,1358401,1300246,58155,93718,80101,1.62,1.55,0.07,956,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-20 00:00:00,1485802,1377475,108327,127401,84276,1.77,1.64,0.13,1006,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-21 00:00:00,1579844,1437268,142576,94042,83363,1.89,1.72,0.17,995,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-22 00:00:00,1693179,1520359,172820,113335,86295,2.02,1.81,0.21,1030,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-23 00:00:00,1783785,1568479,215306,90606,91111,2.13,1.87,0.26,1087,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-24 00:00:00,1849345,1606358,242987,65560,94114,2.21,1.92,0.29,1123,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-25 00:00:00,1945348,1663397,281951,96003,97238,2.32,1.99,0.34,1161,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-26 00:00:00,2045994,1716258,329736,100646,98228,2.44,2.05,0.39,1172,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-27 00:00:00,2154953,1769555,385398,108959,95593,2.57,2.11,0.46,1141,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-28 00:00:00,2253492,1820865,432627,98539,96235,2.69,2.17,0.52,1149,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-29 00:00:00,2358241,1876728,481513,104749,95009,2.81,2.24,0.57,1134,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-30 00:00:00,2438081,1914060,524021,79840,93471,2.91,2.28,0.63,1116,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-01-31 00:00:00,2499097,1945006,554091,61016,92822,2.98,2.32,0.66,1108,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-02-01 00:00:00,2607533,1989836,617697,108436,94598,3.11,2.37,0.74,1129,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Germany,DEU,2021-02-02 00:00:00,2713210,2033561,679649,105677,95317,3.24,2.43,0.81,1138,Moderna, Pfizer/BioNTech,Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,2021-01-31 00:00:00,13286,12886,400,420,421,39.43,38.25,1.19,12496,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1356988250972389380
Gibraltar,GIB,2021-02-01 00:00:00,14299,12974,1325,1013,537,42.44,38.51,3.93,15939,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1356988250972389380
Gibraltar,GIB,2021-02-02 00:00:00,15391,13071,2320,1092,617,45.68,38.8,6.89,18313,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1356988250972389380
Greece,GRC,2021-01-19 00:00:00,93179,92139,1040,7956,5283,0.89,0.88,0.01,507,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-20 00:00:00,107335,105700,1635,14156,6102,1.03,1.01,0.02,585,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-21 00:00:00,123347,121109,2238,16012,7522,1.18,1.16,0.02,722,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-22 00:00:00,140870,138312,2558,17523,9371,1.35,1.33,0.02,899,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-23 00:00:00,157388,154273,3115,16518,11092,1.51,1.48,0.03,1064,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-26 00:00:00,195783,182778,13005,18406,14658,1.88,1.75,0.12,1406,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-27 00:00:00,213735,196009,17726,17952,15200,2.05,1.88,0.17,1458,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-28 00:00:00,232070,208461,23609,18335,15532,2.23,2,0.23,1490,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-29 00:00:00,251303,218910,32393,19233,15776,2.41,2.1,0.31,1514,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-01-30 00:00:00,269106,230518,38588,17803,15960,2.58,2.21,0.37,1531,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-02 00:00:00,315661,261575,54086,24714,17125,3.03,2.51,0.52,1643,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-03 00:00:00,338155,276135,62020,22494,17774,3.24,2.65,0.6,1705,Pfizer/BioNTech,Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,2021-01-18 00:00:00,131332,129689,1643,8144,7536,1.36,1.34,0.02,780,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-19 00:00:00,133257,130318,2939,1925,6618,1.38,1.35,0.03,685,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-20 00:00:00,138584,134554,4030,5327,6069,1.43,1.39,0.04,628,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-21 00:00:00,144798,138983,5815,6214,5581,1.5,1.44,0.06,578,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-22 00:00:00,150128,143184,6944,5330,5326,1.55,1.48,0.07,551,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-23 00:00:00,153392,145257,8135,3264,4778,1.59,1.5,0.08,495,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-24 00:00:00,156098,146695,9403,2706,4701,1.62,1.52,0.1,487,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-25 00:00:00,162315,149676,12639,6217,4426,1.68,1.55,0.13,458,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-26 00:00:00,170476,152704,17772,8161,5317,1.76,1.58,0.18,550,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-27 00:00:00,187508,161215,26293,17032,6989,1.94,1.67,0.27,723,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-28 00:00:00,213010,175283,37727,25502,9745,2.2,1.81,0.39,1009,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-29 00:00:00,247889,198283,49606,34879,13966,2.57,2.05,0.51,1446,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-30 00:00:00,278830,222005,56825,30941,17920,2.89,2.3,0.59,1855,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-01-31 00:00:00,299138,237872,61266,20308,20434,3.1,2.46,0.63,2115,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-02-01 00:00:00,311662,243136,68526,12524,21335,3.23,2.52,0.71,2209,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-02-02 00:00:00,322306,247270,75036,10644,21690,3.34,2.56,0.78,2245,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Hungary,HUN,2021-02-03 00:00:00,334130,249687,84452,11824,20946,3.46,2.58,0.87,2168,Pfizer/BioNTech,Government of Hungary,https://koronavirus.gov.hu/cikkek/1652-fovel-emelkedett-beazonositott-fertozottek-szama-es-elhunyt-93-beteg
Indonesia,IDN,2021-01-28 00:00:00,373786,368318,5468,65783,36427,0.14,0.13,0,133,Sinovac,Ministry of Health,https://www.kemkes.go.id/
